H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0,5.485,1.99,0.1,1176,H15_V0_L5.485_F1.99_fla0.1,0.5503,0.1349,0.061,0.046,0.0434,0.0026,5.0702,0.277,0.4771
15,0.1,0.466,0.01,0.1,105,H15_V0.1_L0.466_F0.01_fla0.1,0.3982,0.0962,0.0769,0.0421,0.039466666666666664,0.0026,5.442833333333334,0.0332,0.2771666666666667
15,0.1,0.466,0.15,0.1,105,H15_V0.1_L0.466_F0.15_fla0.1,0.43626666666666664,0.10363333333333334,0.07473333333333333,0.04323333333333333,0.040633333333333334,0.0026,5.657166666666667,0.03403333333333333,0.31153333333333333
15,0.1,0.466,0.25,0.1,105,H15_V0.1_L0.466_F0.25_fla0.1,0.4590666666666667,0.10823333333333333,0.0729,0.0439,0.0413,0.0026,5.777,0.03456666666666667,0.33243333333333336
15,0.1,0.466,0.4,0.1,105,H15_V0.1_L0.466_F0.4_fla0.1,0.47436666666666666,0.11116666666666666,0.07266666666666667,0.04426666666666667,0.0416,0.0026,5.852433333333334,0.034833333333333334,0.3470666666666667
15,0.1,0.466,0.5,0.1,105,H15_V0.1_L0.466_F0.5_fla0.1,0.47696666666666665,0.11163333333333333,0.07243333333333334,0.04426666666666667,0.041666666666666664,0.0026,5.864566666666667,0.03486666666666667,0.3494333333333333
15,0.1,0.466,0.65,0.1,105,H15_V0.1_L0.466_F0.65_fla0.1,0.48533333333333334,0.11306666666666666,0.07086666666666666,0.0445,0.04186666666666667,0.0026,5.9086,0.035,0.3562
15,0.1,0.466,0.75,0.1,105,H15_V0.1_L0.466_F0.75_fla0.1,0.4966333333333333,0.1152,0.06756666666666666,0.04476666666666666,0.042133333333333335,0.0026,5.962933333333334,0.03523333333333333,0.3651
15,0.1,0.466,0.85,0.1,105,H15_V0.1_L0.466_F0.85_fla0.1,0.5134333333333333,0.1183,0.06526666666666667,0.04516666666666667,0.04253333333333333,0.0026,6.0456,0.03556666666666666,0.3797
15,0.1,0.466,0.95,0.1,105,H15_V0.1_L0.466_F0.95_fla0.1,0.5305,0.12226666666666666,0.0654,0.045533333333333335,0.04293333333333333,0.0026,6.136733333333333,0.035833333333333335,0.3969666666666667
15,0.1,0.466,1,0.1,105,H15_V0.1_L0.466_F1_fla0.1,0.5369,0.1237,0.06483333333333333,0.0457,0.04306666666666666,0.0026,6.168833333333334,0.03596666666666667,0.40303333333333335
15,0.1,0.466,1.05,0.1,105,H15_V0.1_L0.466_F1.05_fla0.1,0.5436,0.12513333333333332,0.0647,0.04583333333333334,0.04323333333333333,0.0026,6.202233333333333,0.036066666666666664,0.40963333333333335
15,0.1,0.466,1.15,0.1,105,H15_V0.1_L0.466_F1.15_fla0.1,0.5527666666666666,0.127,0.0647,0.046033333333333336,0.04343333333333333,0.0026,6.2478,0.0362,0.41856666666666664
15,0.1,0.466,1.25,0.1,105,H15_V0.1_L0.466_F1.25_fla0.1,0.5571,0.12793333333333332,0.0647,0.04613333333333333,0.04346666666666667,0.0026,6.2701666666666664,0.03626666666666667,0.4228
15,0.1,0.466,1.35,0.1,105,H15_V0.1_L0.466_F1.35_fla0.1,0.5590666666666667,0.12833333333333333,0.0647,0.0462,0.04356666666666666,0.0026,6.281433333333333,0.0363,0.4246333333333333
15,0.1,0.466,1.5,0.1,105,H15_V0.1_L0.466_F1.5_fla0.1,0.5595,0.1284,0.0647,0.0462,0.0436,0.0026,6.2879,0.0363,0.42486666666666667
15,0.1,0.466,1.6,0.1,105,H15_V0.1_L0.466_F1.6_fla0.1,0.5590666666666667,0.12853333333333333,0.06443333333333333,0.0462,0.04356666666666666,0.0026,6.289,0.0363,0.42443333333333333
15,0.1,0.466,1.75,0.1,105,H15_V0.1_L0.466_F1.75_fla0.1,0.5580333333333334,0.12886666666666666,0.06386666666666667,0.04613333333333333,0.0435,0.0026,6.287166666666667,0.0363,0.4236666666666667
15,0.1,0.466,1.85,0.1,105,H15_V0.1_L0.466_F1.85_fla0.1,0.5580333333333334,0.12886666666666666,0.06386666666666667,0.04613333333333333,0.0435,0.0026,6.2879,0.0363,0.4236666666666667
15,0.1,0.466,1.99,0.1,105,H15_V0.1_L0.466_F1.99_fla0.1,0.5580333333333334,0.1289,0.06386666666666667,0.04616666666666667,0.0435,0.0026,6.289433333333333,0.0363,0.42356666666666665
15,0.1,1.488,0.01,0.1,313,H15_V0.1_L1.488_F0.01_fla0.1,0.2790666666666667,0.07406666666666667,0.09226666666666666,0.03673333333333333,0.034133333333333335,0.0026,4.062133333333333,0.09276666666666666,0.20803333333333335
15,0.1,1.488,0.15,0.1,313,H15_V0.1_L1.488_F0.15_fla0.1,0.29133333333333333,0.07646666666666667,0.0897,0.037366666666666666,0.03476666666666667,0.0026,4.128466666666667,0.09433333333333332,0.21813333333333335
15,0.1,1.488,0.25,0.1,313,H15_V0.1_L1.488_F0.25_fla0.1,0.29460000000000003,0.0769,0.08933333333333333,0.0376,0.03496666666666667,0.0026,4.1356,0.0948,0.2212
15,0.1,1.488,0.4,0.1,313,H15_V0.1_L1.488_F0.4_fla0.1,0.2982333333333333,0.07763333333333333,0.08873333333333333,0.037866666666666667,0.03526666666666667,0.0026,4.162433333333333,0.0954,0.2239
15,0.1,1.488,0.5,0.1,313,H15_V0.1_L1.488_F0.5_fla0.1,0.3058666666666667,0.07906666666666666,0.0879,0.038266666666666664,0.03556666666666666,0.0026,4.2234,0.0963,0.22966666666666666
15,0.1,1.488,0.65,0.1,313,H15_V0.1_L1.488_F0.65_fla0.1,0.33363333333333334,0.0842,0.08266666666666667,0.039433333333333334,0.03676666666666667,0.0026,4.389833333333334,0.09923333333333334,0.25170000000000003
15,0.1,1.488,0.75,0.1,313,H15_V0.1_L1.488_F0.75_fla0.1,0.36246666666666666,0.08966666666666666,0.08016666666666666,0.0405,0.037866666666666667,0.0026,4.5549333333333335,0.10193333333333333,0.2768
15,0.1,1.488,0.85,0.1,313,H15_V0.1_L1.488_F0.85_fla0.1,0.40016666666666667,0.0971,0.07553333333333334,0.04176666666666667,0.03916666666666667,0.0026,4.7626333333333335,0.1051,0.3097
15,0.1,1.488,0.95,0.1,313,H15_V0.1_L1.488_F0.95_fla0.1,0.4447,0.10593333333333334,0.0721,0.04323333333333333,0.04056666666666667,0.0026,4.990066666666666,0.1086,0.3506666666666667
15,0.1,1.488,1,0.1,313,H15_V0.1_L1.488_F1_fla0.1,0.4680666666666667,0.11063333333333333,0.0698,0.0439,0.04126666666666667,0.0026,5.097266666666666,0.11026666666666667,0.37243333333333334
15,0.1,1.488,1.05,0.1,313,H15_V0.1_L1.488_F1.05_fla0.1,0.49046666666666666,0.11513333333333334,0.0679,0.0445,0.0419,0.0026,5.1953000000000005,0.11176666666666667,0.3937
15,0.1,1.488,1.15,0.1,313,H15_V0.1_L1.488_F1.15_fla0.1,0.5265333333333333,0.1225,0.0652,0.04543333333333333,0.042833333333333334,0.0026,5.3406,0.114,0.42896666666666666
15,0.1,1.488,1.25,0.1,313,H15_V0.1_L1.488_F1.25_fla0.1,0.5475333333333333,0.12713333333333332,0.0634,0.04593333333333333,0.043333333333333335,0.0026,5.416666666666667,0.1152,0.45013333333333333
15,0.1,1.488,1.35,0.1,313,H15_V0.1_L1.488_F1.35_fla0.1,0.5549333333333334,0.12916666666666668,0.06276666666666667,0.0461,0.0435,0.0026,5.453266666666666,0.11556666666666666,0.4577
15,0.1,1.488,1.5,0.1,313,H15_V0.1_L1.488_F1.5_fla0.1,0.5554,0.12976666666666667,0.0621,0.0461,0.0435,0.0026,5.479633333333333,0.1156,0.4574
15,0.1,1.488,1.6,0.1,313,H15_V0.1_L1.488_F1.6_fla0.1,0.5551666666666667,0.1299,0.06193333333333333,0.0461,0.0435,0.0026,5.4892666666666665,0.1156,0.4568
15,0.1,1.488,1.75,0.1,313,H15_V0.1_L1.488_F1.75_fla0.1,0.5548666666666666,0.12996666666666667,0.061766666666666664,0.0461,0.0435,0.0026,5.4942,0.1156,0.4563333333333333
15,0.1,1.488,1.85,0.1,313,H15_V0.1_L1.488_F1.85_fla0.1,0.5547666666666666,0.13006666666666666,0.06166666666666667,0.0461,0.0435,0.0026,5.497166666666667,0.1156,0.4560666666666667
15,0.1,1.488,1.99,0.1,313,H15_V0.1_L1.488_F1.99_fla0.1,0.5545666666666667,0.1301,0.0615,0.0461,0.0435,0.0026,5.5035,0.1156,0.45563333333333333
15,0.1,2.916,0.01,0.1,613,H15_V0.1_L2.916_F0.01_fla0.1,0.1787,0.0564,0.108,0.029666666666666668,0.027033333333333333,0.0026,2.7491,0.14726666666666666,0.15993333333333334
15,0.1,2.916,0.15,0.1,613,H15_V0.1_L2.916_F0.15_fla0.1,0.17986666666666667,0.056100000000000004,0.1099,0.0298,0.027166666666666665,0.0026,2.7617,0.14796666666666666,0.1613
15,0.1,2.916,0.25,0.1,613,H15_V0.1_L2.916_F0.25_fla0.1,0.18173333333333333,0.0564,0.10846666666666667,0.029933333333333333,0.027333333333333334,0.0026,2.7746333333333335,0.14873333333333333,0.1619
