"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"207",15,0.25,0.44,1.75,27,105,"H15_V0.25_L0.44_F1.75_fla27",112.257366666667,28.3855333333333,22.8070666666667,11.4944666666667,10.7865,0.708,1299.34066666667,9.07226666666667,91.3808333333333
"208",15,0.25,0.44,1.85,27,105,"H15_V0.25_L0.44_F1.85_fla27",112.2495,28.3902666666667,22.7973666666667,11.4942333333333,10.7862666666667,0.708,1299.8296,9.07206666666667,91.3520666666667
"209",15,0.25,0.44,1.99,27,105,"H15_V0.25_L0.44_F1.99_fla27",112.259266666667,28.3845666666667,22.8085666666667,11.4945,10.7865333333333,0.708,1300.0158,9.0723,91.3522666666667
"210",15,0.25,1.521,0.01,27,351,"H15_V0.25_L1.521_F0.01_fla27",65.0628666666667,18.9520333333333,27.9132333333333,9.33463333333333,8.62673333333333,0.708,694.5416,25.3842666666667,65.1423
"211",15,0.25,1.521,0.15,27,351,"H15_V0.25_L1.521_F0.15_fla27",67.6475333333333,19.4675,27.7067666666667,9.46473333333333,8.7568,0.708,708.306266666667,25.7423333333333,67.4861
"212",15,0.25,1.521,0.25,27,351,"H15_V0.25_L1.521_F0.25_fla27",70.4537333333333,20.0387,27.6183,9.62893333333333,8.921,0.708,718.314166666667,26.1914,70.3568666666667
"213",15,0.25,1.521,0.4,27,351,"H15_V0.25_L1.521_F0.4_fla27",73.9825666666667,20.7724666666667,26.208,9.84576666666667,9.13783333333333,0.708,724.6991,26.7710666666667,73.4203
"214",15,0.25,1.521,0.5,27,351,"H15_V0.25_L1.521_F0.5_fla27",75.7881333333333,21.1636666666667,25.8448,9.94593333333333,9.238,0.708,731.638033333333,27.0440666666667,75.0760666666667
"215",15,0.25,1.521,0.65,27,351,"H15_V0.25_L1.521_F0.65_fla27",78.8861666666667,21.7837666666667,25.7977666666667,10.1148,9.40683333333333,0.708,745.929866666667,27.5140333333333,78.1183666666667
"216",15,0.25,1.521,0.75,27,351,"H15_V0.25_L1.521_F0.75_fla27",81.9385,22.389,25.8180333333333,10.2698333333333,9.56186666666667,0.708,759.7229,27.9494666666667,81.163
"217",15,0.25,1.521,0.85,27,351,"H15_V0.25_L1.521_F0.85_fla27",85.4522666666667,23.1327333333333,25.5240333333333,10.437,9.729,0.708,776.731866666667,28.4185,84.4801666666667
