"","H","V","L","F","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"105",15,0.1,0.466,1,105,"H15_V0.1_L0.466_F1",155.861566666667,41.9402666666667,42.5313333333333,18.6165666666667,17.3679666666667,1.2486,2395.06126666667,14.6969666666667,108.0409
"106",15,0.1,0.466,1.05,105,"H15_V0.1_L0.466_F1.05",157.693866666667,42.3223333333333,42.4382,18.7058,17.4571,1.2486,2408.0323,14.7668666666667,109.6179
"107",15,0.1,0.466,1.15,105,"H15_V0.1_L0.466_F1.15",160.230666666667,42.8673,42.2537666666667,18.8277666666667,17.5791666666667,1.2486,2425.6893,14.8626,111.800933333333
"108",15,0.1,0.466,1.25,105,"H15_V0.1_L0.466_F1.25",161.3949,43.1383333333333,42.1277333333333,18.8862666666667,17.6376333333333,1.2486,2434.03923333333,14.9083,112.794966666667
"109",15,0.1,0.466,1.35,105,"H15_V0.1_L0.466_F1.35",161.9086,43.2583333333333,42.0699666666667,18.9118,17.6631666666667,1.2486,2437.9039,14.9284333333333,113.224133333333
"110",15,0.1,0.466,1.5,105,"H15_V0.1_L0.466_F1.5",161.9991,43.3104666666667,42.0134666666667,18.9165,17.6678666666667,1.2486,2439.34546666667,14.9322,113.2793
"111",15,0.1,0.466,1.6,105,"H15_V0.1_L0.466_F1.6",161.9661,43.3326666666667,41.9600333333333,18.9149,17.6663,1.2486,2439.6378,14.9309666666667,113.233333333333
"112",15,0.1,0.466,1.75,105,"H15_V0.1_L0.466_F1.75",161.931933333333,43.3549,41.9076,18.9135333333333,17.6649,1.2486,2439.91016666667,14.9298,113.187466666667
"113",15,0.1,0.466,1.85,105,"H15_V0.1_L0.466_F1.85",161.916266666667,43.3646666666667,41.8872666666667,18.9131666666667,17.6645666666667,1.2486,2440.01406666667,14.9295666666667,113.168766666667
"114",15,0.1,0.466,1.99,105,"H15_V0.1_L0.466_F1.99",161.928133333333,43.3565666666667,41.9046666666667,18.9135,17.6649,1.2486,2440.42706666667,14.9298,113.161233333333
"115",15,0.1,1.488,0.01,313,"H15_V0.1_L1.488_F0.01",83.4501,27.4008333333333,49.9852333333333,13.9077,12.6591,1.2486,1589.75856666667,34.9123333333333,62.0698666666667
"116",15,0.1,1.488,0.15,313,"H15_V0.1_L1.488_F0.15",86.7873,28.0864,49.3512666666667,14.2516,13.003,1.2486,1619.4459,35.7433,64.3361666666667
"117",15,0.1,1.488,0.25,313,"H15_V0.1_L1.488_F0.25",87.8612666666667,28.3024333333333,49.182,14.3848333333333,13.1362333333333,1.2486,1625.49286666667,36.0402666666667,65.2365666666667
"118",15,0.1,1.488,0.4,313,"H15_V0.1_L1.488_F0.4",89.2487,28.5828666666667,48.8701666666667,14.4967666666667,13.2481666666667,1.2486,1636.58386666667,36.2942,66.2047666666667
"119",15,0.1,1.488,0.5,313,"H15_V0.1_L1.488_F0.5",91.4162333333333,28.9848333333333,48.6920666666667,14.6377,13.3890666666667,1.2486,1658.65453333333,36.6575666666667,67.6544
"120",15,0.1,1.488,0.65,313,"H15_V0.1_L1.488_F0.65",99.3256333333333,30.5382,47.2074666666667,15.2098,13.9611666666667,1.2486,1724.65006666667,38.1048333333333,73.1638333333333
"121",15,0.1,1.488,0.75,313,"H15_V0.1_L1.488_F0.75",107.422066666667,32.1994,46.5890333333333,15.7442666666667,14.4956666666667,1.2486,1788.94043333333,39.4716333333333,79.6434
"122",15,0.1,1.488,0.85,313,"H15_V0.1_L1.488_F0.85",118.154433333333,34.3526333333333,45.0994,16.4166666666667,15.1680333333333,1.2486,1870.29443333333,41.1830666666667,87.9057
"123",15,0.1,1.488,0.95,313,"H15_V0.1_L1.488_F0.95",130.6291,36.9348333333333,44.1721333333333,17.1762333333333,15.9276333333333,1.2486,1960.55056666667,43.1294,98.3355666666667
"124",15,0.1,1.488,1,313,"H15_V0.1_L1.488_F1",136.960966666667,38.2137666666667,42.9605666666667,17.5454333333333,16.2968333333333,1.2486,2001.42423333333,44.0718333333333,103.330466666667
"125",15,0.1,1.488,1.05,313,"H15_V0.1_L1.488_F1.05",143.055,39.4848,42.9878333333333,17.8923666666667,16.6437666666667,1.2486,2042.15086666667,44.9727333333333,108.8948
"126",15,0.1,1.488,1.15,313,"H15_V0.1_L1.488_F1.15",153.076633333333,41.5747666666667,42.3363,18.4481333333333,17.1994666666667,1.2486,2102.84186666667,46.4136,117.886633333333
"127",15,0.1,1.488,1.25,313,"H15_V0.1_L1.488_F1.25",158.9088,42.8867333333333,41.8151333333333,18.7631333333333,17.5145333333333,1.2486,2134.22526666667,47.2337666666667,123.336833333333
"128",15,0.1,1.488,1.35,313,"H15_V0.1_L1.488_F1.35",161.193433333333,43.4514666666667,41.4804666666667,18.8814666666667,17.6328666666667,1.2486,2147.4436,47.5427,125.4169
"129",15,0.1,1.488,1.5,313,"H15_V0.1_L1.488_F1.5",161.515066666667,43.6446,41.2507,18.8984333333333,17.6498333333333,1.2486,2154.67626666667,47.5873666666667,125.5131
"130",15,0.1,1.488,1.6,313,"H15_V0.1_L1.488_F1.6",161.4553,43.6900666666667,41.1429333333333,18.8959333333333,17.6473333333333,1.2486,2157.11743333333,47.5806666666667,125.344533333333
"131",15,0.1,1.488,1.75,313,"H15_V0.1_L1.488_F1.75",161.4385,43.7028,41.1105666666667,18.8950666666667,17.6464666666667,1.2486,2158.86553333333,47.5784,125.248766666667
"132",15,0.1,1.488,1.85,313,"H15_V0.1_L1.488_F1.85",161.3926,43.7394,41.0299666666667,18.8936,17.645,1.2486,2159.56193333333,47.5744666666667,125.174433333333
"133",15,0.1,1.488,1.99,313,"H15_V0.1_L1.488_F1.99",161.364866666667,43.7626666666667,40.9737333333333,18.8923,17.6437,1.2486,2161.25396666667,47.571,125.070566666667
"134",15,0.1,2.916,0.01,613,"H15_V0.1_L2.916_F0.01",54.5175333333333,21.5756333333333,54.9019,10.7927,9.5441,1.2486,1110.17706666667,52.8973333333333,52.147
"135",15,0.1,2.916,0.15,613,"H15_V0.1_L2.916_F0.15",54.7410333333333,21.5741,55.0958666666667,10.8283666666667,9.57976666666667,1.2486,1112.8175,53.0747333333333,52.3581666666667
"136",15,0.1,2.916,0.25,613,"H15_V0.1_L2.916_F0.25",55.2026333333333,21.6322,55.3078,10.8837666666667,9.63513333333333,1.2486,1118.3231,53.3358,52.7587
"137",15,0.1,2.916,0.4,613,"H15_V0.1_L2.916_F0.4",55.8245,21.7785333333333,54.9123666666667,10.9682666666667,9.71963333333333,1.2486,1125.4791,53.7233666666667,52.9381333333333
