"","H","V","L","F","fla","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"98",15,0.1,0.44,0.25,0.1,105,"H15_V0.1_L0.44_F0.25_fla0.1",0.462866666666667,0.1093,0.0697666666666667,0.0439666666666667,0.0413666666666667,0.0026,4.95683333333333,0.0346333333333333,0.372033333333333
"99",15,0.1,0.44,0.4,0.1,105,"H15_V0.1_L0.44_F0.4_fla0.1",0.491433333333333,0.1147,0.0716,0.0446666666666667,0.0420666666666667,0.0026,5.0554,0.0351333333333333,0.4026
"100",15,0.1,0.44,0.5,0.1,105,"H15_V0.1_L0.44_F0.5_fla0.1",0.498666666666667,0.116066666666667,0.0720666666666667,0.0448333333333333,0.0422,0.0026,5.07513333333333,0.0353,0.4106
"101",15,0.1,0.44,0.65,0.1,105,"H15_V0.1_L0.44_F0.65_fla0.1",0.5056,0.117466666666667,0.0721,0.045,0.0424,0.0026,5.11366666666667,0.0354,0.4172
"102",15,0.1,0.44,0.75,0.1,105,"H15_V0.1_L0.44_F0.75_fla0.1",0.514533333333333,0.119333333333333,0.0721,0.0451666666666667,0.0425666666666667,0.0026,5.16026666666667,0.0355666666666667,0.4259
"103",15,0.1,0.44,0.85,0.1,105,"H15_V0.1_L0.44_F0.85_fla0.1",0.527066666666667,0.1219,0.0721,0.0454666666666667,0.0428666666666667,0.0026,5.2198,0.0357666666666667,0.4384
"104",15,0.1,0.44,0.95,0.1,105,"H15_V0.1_L0.44_F0.95_fla0.1",0.540233333333333,0.1246,0.0721,0.0457666666666667,0.0431333333333333,0.0026,5.2771,0.036,0.451733333333333
"105",15,0.1,0.44,1,0.1,105,"H15_V0.1_L0.44_F1_fla0.1",0.545233333333333,0.125666666666667,0.0721,0.0458666666666667,0.0432666666666667,0.0026,5.29796666666667,0.0360666666666667,0.4569
"106",15,0.1,0.44,1.05,0.1,105,"H15_V0.1_L0.44_F1.05_fla0.1",0.550266666666667,0.126666666666667,0.0721,0.0459666666666667,0.0433666666666667,0.0026,5.3165,0.0361666666666667,0.462033333333333
"107",15,0.1,0.44,1.15,0.1,105,"H15_V0.1_L0.44_F1.15_fla0.1",0.556866666666667,0.127833333333333,0.0709333333333333,0.0461,0.0434666666666667,0.0026,5.3361,0.0362666666666667,0.468066666666667
"108",15,0.1,0.44,1.25,0.1,105,"H15_V0.1_L0.44_F1.25_fla0.1",0.559566666666667,0.126,0.0579,0.0461666666666667,0.0435666666666667,0.0026,5.3046,0.0363,0.461366666666667
"109",15,0.1,0.44,1.35,0.1,105,"H15_V0.1_L0.44_F1.35_fla0.1",0.560933333333333,0.126266666666667,0.0579,0.0462,0.0436,0.0026,5.31003333333333,0.0363,0.462766666666667
"110",15,0.1,0.44,1.5,0.1,105,"H15_V0.1_L0.44_F1.5_fla0.1",0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.31566666666667,0.0363,0.462833333333333
"111",15,0.1,0.44,1.6,0.1,105,"H15_V0.1_L0.44_F1.6_fla0.1",0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3192,0.0363,0.462666666666667
"112",15,0.1,0.44,1.75,0.1,105,"H15_V0.1_L0.44_F1.75_fla0.1",0.560266666666667,0.1276,0.062,0.0462,0.0435666666666667,0.0026,5.33343333333333,0.0363,0.465466666666667
"113",15,0.1,0.44,1.85,0.1,105,"H15_V0.1_L0.44_F1.85_fla0.1",0.5584,0.1302,0.0702,0.0462,0.0435,0.0026,5.35713333333333,0.0363,0.471233333333333
"114",15,0.1,0.44,1.99,0.1,105,"H15_V0.1_L0.44_F1.99_fla0.1",0.5584,0.1302,0.0702,0.0462,0.0435,0.0026,5.35986666666667,0.0363,0.471133333333333
"115",15,0.1,1.521,0.01,0.1,351,"H15_V0.1_L1.521_F0.01_fla0.1",0.310866666666667,0.0813,0.0920666666666667,0.0384666666666667,0.0358333333333333,0.0026,2.73113333333333,0.104933333333333,0.306633333333333
"116",15,0.1,1.521,0.15,0.1,351,"H15_V0.1_L1.521_F0.15_fla0.1",0.322633333333333,0.0834333333333333,0.0925333333333333,0.0389,0.0362666666666667,0.0026,2.7663,0.106033333333333,0.319066666666667
"117",15,0.1,1.521,0.25,0.1,351,"H15_V0.1_L1.521_F0.25_fla0.1",0.331133333333333,0.0849333333333333,0.0928333333333333,0.0392666666666667,0.0366333333333333,0.0026,2.7832,0.106933333333333,0.328466666666667
"118",15,0.1,1.521,0.4,0.1,351,"H15_V0.1_L1.521_F0.4_fla0.1",0.3423,0.0872,0.0929,0.0398,0.0371666666666667,0.0026,2.81373333333333,0.108366666666667,0.340566666666667
"119",15,0.1,1.521,0.5,0.1,351,"H15_V0.1_L1.521_F0.5_fla0.1",0.350433333333333,0.0888666666666667,0.0929,0.0401333333333333,0.0375333333333333,0.0026,2.85183333333333,0.109333333333333,0.348666666666667
"120",15,0.1,1.521,0.65,0.1,351,"H15_V0.1_L1.521_F0.65_fla0.1",0.370666666666667,0.0930333333333333,0.0929,0.0409333333333333,0.0383,0.0026,2.93306666666667,0.1114,0.3695
"121",15,0.1,1.521,0.75,0.1,351,"H15_V0.1_L1.521_F0.75_fla0.1",0.3887,0.0963,0.0844666666666667,0.0415666666666667,0.0389333333333333,0.0026,2.98886666666667,0.113066666666667,0.382733333333333
"122",15,0.1,1.521,0.85,0.1,351,"H15_V0.1_L1.521_F0.85_fla0.1",0.418033333333333,0.1015,0.0735666666666667,0.0425333333333333,0.0399,0.0026,3.0917,0.1156,0.405466666666667
"123",15,0.1,1.521,0.95,0.1,351,"H15_V0.1_L1.521_F0.95_fla0.1",0.4574,0.109,0.0756333333333333,0.0436666666666667,0.0410666666666667,0.0026,3.21793333333333,0.118666666666667,0.4478
"124",15,0.1,1.521,1,0.1,351,"H15_V0.1_L1.521_F1_fla0.1",0.48,0.113433333333333,0.077,0.0442666666666667,0.0416666666666667,0.0026,3.2739,0.120233333333333,0.4731
"125",15,0.1,1.521,1.05,0.1,351,"H15_V0.1_L1.521_F1.05_fla0.1",0.500166666666667,0.117433333333333,0.0773666666666667,0.0448333333333333,0.0421666666666667,0.0026,3.3143,0.121666666666667,0.4957
"126",15,0.1,1.521,1.15,0.1,351,"H15_V0.1_L1.521_F1.15_fla0.1",0.533833333333333,0.124266666666667,0.0777,0.0456333333333333,0.043,0.0026,3.36363333333333,0.1238,0.534133333333333
"127",15,0.1,1.521,1.25,0.1,351,"H15_V0.1_L1.521_F1.25_fla0.1",0.548366666666667,0.1296,0.0749666666666667,0.046,0.0433,0.0026,3.38073333333333,0.124666666666667,0.552366666666667
"128",15,0.1,1.521,1.35,0.1,351,"H15_V0.1_L1.521_F1.35_fla0.1",0.555166666666667,0.1312,0.0748,0.0461,0.0435,0.0026,3.39876666666667,0.125,0.5598
"129",15,0.1,1.521,1.5,0.1,351,"H15_V0.1_L1.521_F1.5_fla0.1",0.557633333333333,0.1317,0.0748,0.0461,0.0435,0.0026,3.4162,0.125133333333333,0.562033333333333
"130",15,0.1,1.521,1.6,0.1,351,"H15_V0.1_L1.521_F1.6_fla0.1",0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.42356666666667,0.1252,0.561933333333333
"131",15,0.1,1.521,1.75,0.1,351,"H15_V0.1_L1.521_F1.75_fla0.1",0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.42883333333333,0.1252,0.5617
"132",15,0.1,1.521,1.85,0.1,351,"H15_V0.1_L1.521_F1.85_fla0.1",0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.43193333333333,0.1252,0.561533333333333
"133",15,0.1,1.521,1.99,0.1,351,"H15_V0.1_L1.521_F1.99_fla0.1",0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4348,0.1252,0.561433333333333
"134",15,0.1,2.916,0.01,0.1,666,"H15_V0.1_L2.916_F0.01_fla0.1",0.230333333333333,0.0657666666666667,0.104333333333333,0.0338,0.0311666666666667,0.0026,1.70693333333333,0.177,0.264533333333333
"135",15,0.1,2.916,0.15,0.1,666,"H15_V0.1_L2.916_F0.15_fla0.1",0.233766666666667,0.0665666666666667,0.1042,0.0340333333333333,0.0314333333333333,0.0026,1.70816666666667,0.1783,0.268633333333333
"136",15,0.1,2.916,0.25,0.1,666,"H15_V0.1_L2.916_F0.25_fla0.1",0.233933333333333,0.0665666666666667,0.104133333333333,0.0340333333333333,0.0314333333333333,0.0026,1.7112,0.178333333333333,0.268633333333333
"137",15,0.1,2.916,0.4,0.1,666,"H15_V0.1_L2.916_F0.4_fla0.1",0.237533333333333,0.0672,0.1044,0.0342666666666667,0.0316333333333333,0.0026,1.73763333333333,0.1796,0.271866666666667
"138",15,0.1,2.916,0.5,0.1,666,"H15_V0.1_L2.916_F0.5_fla0.1",0.243933333333333,0.0684,0.104566666666667,0.0346333333333333,0.0320333333333333,0.0026,1.77206666666667,0.181533333333333,0.277933333333333
"139",15,0.1,2.916,0.65,0.1,666,"H15_V0.1_L2.916_F0.65_fla0.1",0.267633333333333,0.0728666666666667,0.101366666666667,0.0359333333333333,0.0333333333333333,0.0026,1.87146666666667,0.188133333333333,0.299466666666667
